CountyName,LocationID,TotalPopulation,Checkups,Depression,Disability,Food_Insecurity,Food_Stamps,Housing_Insecure,Insurance_Gap,Loneliness,Transport_Barriers,Utility_Threat
Amherst,51009010505,1045,77.8,26.6,44.2,27.5,28.8,19.6,13.6,35.5,14.4,14.5
Amherst,51009010506,1585,79.2,23.2,36.5,16.2,14.6,13.1,10.2,33.1,8.9,8.8
Amherst,51009010600,2687,79.9,22.7,37.5,17.9,15.8,14.2,10.2,34.1,9.6,9.4
Appomattox,51011040101,3683,79.8,24.5,33.2,12.4,11.0,10.1,7.9,32.4,7.3,7.0
Appomattox,51011040102,3524,80.0,23.6,34.9,14.7,13.1,12.1,8.6,34.0,8.3,8.2
Appomattox,51011040200,4535,80.3,23.5,35.3,14.5,12.9,11.5,8.4,33.6,8.0,7.8
Appomattox,51011040300,4377,80.6,24.0,39.4,18.4,18.1,13.5,9.8,33.5,9.8,9.8
Arlington,51013100100,5125,79.2,21.3,20.5,5.4,3.6,5.2,5.0,30.3,3.7,3.3
Arlington,51013100200,6660,79.7,21.5,21.1,5.2,3.5,5.2,4.7,30.1,3.7,3.3
Arlington,51013100300,6199,80.8,21.3,22.1,4.9,3.3,4.8,4.2,29.8,3.7,3.2
Arlington,51013100400,3780,81.4,20.1,20.2,3.9,2.5,4.0,3.9,28.1,3.0,2.7
Arlington,51013100500,5029,78.1,22.1,20.2,5.4,3.6,5.3,4.6,31.2,4.0,3.4
Arlington,51013100600,3285,78.0,21.5,20.8,5.6,3.6,5.5,5.3,31.6,4.0,3.4
Arlington,51013100700,5827,76.9,22.0,21.6,7.2,4.9,7.0,6.5,32.9,4.7,4.2
Arlington,51013100800,1596,77.9,19.8,23.2,9.9,7.0,9.2,7.8,34.2,6.0,5.6
Arlington,51013100900,4406,78.5,21.5,21.6,6.8,4.8,6.5,6.0,31.1,4.5,4.1
Arlington,51013101000,3319,78.8,22.1,20.8,6.1,4.3,6.1,5.2,30.5,4.2,4.0
Arlington,51013101100,5948,78.0,21.2,18.4,4.7,3.0,4.9,4.3,30.5,3.5,3.1
Arlington,51013101200,3897,78.9,20.1,22.3,6.5,4.2,6.4,6.7,31.1,4.3,3.9
Arlington,51013101300,6940,76.7,21.6,18.2,4.7,2.9,5.0,4.6,31.0,3.7,3.3
Arlington,51013101401,1938,71.0,24.4,17.5,6.7,4.1,6.8,5.5,38.4,5.2,4.0
Arlington,51013101402,2878,73.3,22.9,16.9,4.7,2.9,5.0,4.5,33.4,3.9,3.2
Arlington,51013101405,2176,74.2,22.2,17.3,4.8,2.8,5.0,4.5,34.1,3.7,3.0
Arlington,51013101406,3641,72.9,23.2,17.1,4.9,3.0,5.2,4.7,34.3,4.0,3.3
Arlington,51013101407,3812,71.2,23.6,16.7,5.8,3.7,5.9,4.9,35.2,4.7,3.8
Arlington,51013101408,788,69.4,23.7,15.0,4.8,2.7,5.5,5.0,35.8,4.0,3.2
Arlington,51013101409,2120,76.7,21.7,22.0,5.3,3.4,5.0,5.1,33.6,4.0,3.1
Arlington,51013101501,3136,72.6,23.3,17.8,6.5,4.2,6.6,6.0,34.8,4.8,4.0
Arlington,51013101502,3284,74.1,23.1,16.8,4.8,2.9,5.2,4.6,33.2,3.9,3.2
Arlington,51013101503,1793,77.7,21.2,18.3,4.3,2.7,4.5,4.4,30.9,3.3,2.8
Arlington,51013101601,1362,74.7,22.4,16.6,4.4,2.6,4.8,4.3,33.1,3.7,3.1
Arlington,51013101602,1654,74.4,23.9,23.2,11.1,8.7,9.7,8.1,35.2,6.8,6.2
Arlington,51013101603,4482,73.6,23.4,19.8,7.6,5.2,6.9,6.2,35.0,5.3,4.3
Arlington,51013101701,5507,70.9,23.6,16.8,6.7,4.3,6.8,6.0,36.0,5.0,4.1
Arlington,51013101703,2352,74.9,22.0,19.4,6.5,4.2,6.5,6.1,33.2,4.7,4.0
Arlington,51013101704,1990,73.3,21.2,18.3,7.8,5.0,7.1,5.8,35.6,5.4,4.5
Arlington,51013101705,4175,74.7,21.9,18.2,6.2,4.0,6.3,5.3,33.5,4.5,4.0
Arlington,51013101801,3399,72.5,23.0,14.1,3.7,2.2,4.5,3.9,33.1,3.3,2.8
Arlington,51013101803,4722,72.9,23.5,19.2,7.3,4.9,7.2,6.4,34.8,5.2,4.4
Arlington,51013101804,2215,72.8,23.7,23.9,13.0,10.0,11.2,10.2,36.4,7.7,6.9
Arlington,51013101805,3760,72.2,23.5,15.5,4.4,2.6,5.0,4.3,33.7,3.8,3.1
Arlington,51013101900,3183,76.8,22.2,17.8,4.2,2.6,4.5,4.0,31.3,3.5,2.9
Arlington,51013102001,2802,74.5,21.8,24.2,11.1,7.9,9.6,9.9,35.3,6.9,5.8
Arlington,51013102002,1243,72.7,22.5,19.7,8.1,5.3,7.7,7.4,35.7,5.5,4.5
Arlington,51013102003,4820,75.8,21.2,27.2,13.8,10.4,12.0,12.3,35.1,7.9,7.3
Arlington,51013102100,2325,81.6,18.6,27.6,8.7,6.2,6.8,7.6,31.2,5.0,4.3
Arlington,51013102200,7880,75.3,20.2,30.9,22.3,17.1,18.3,18.1,37.6,11.2,10.8
Arlington,51013102301,1734,77.7,21.9,24.3,10.1,7.5,9.3,7.8,33.2,6.1,5.9
Arlington,51013102302,4668,75.4,21.4,22.6,10.8,7.4,10.2,10.0,34.7,6.4,5.8
Arlington,51013102400,3617,74.9,22.0,21.4,8.9,6.1,8.5,8.0,34.3,5.6,5.0
Arlington,51013102500,5291,75.2,21.2,19.2,7.7,5.1,8.0,6.9,33.7,5.1,4.8
Arlington,51013102600,3688,75.8,20.2,22.2,10.6,7.2,9.9,9.2,34.1,6.3,5.8
