CountyName,LocationID,TotalPopulation,Checkups,Depression,Disability,Food_Insecurity,Food_Stamps,Housing_Insecure,Insurance_Gap,Loneliness,Transport_Barriers,Utility_Threat,Low_Checkups,Healthcare_Desert_Score,Score_EqualWeights,Risk_Tier
Arlington,51013100400,3780,81.4,20.1,20.2,3.9,2.5,4.0,3.9,28.1,3.0,2.7,18.599999999999994,9.07,8.34,LOW
Arlington,51013100500,5029,78.1,22.1,20.2,5.4,3.6,5.3,4.6,31.2,4.0,3.4,21.900000000000006,10.77,9.93,LOW
Arlington,51013100600,3285,78.0,21.5,20.8,5.6,3.6,5.5,5.3,31.6,4.0,3.4,22.0,11.06,10.12,LOW
Arlington,51013100700,5827,76.9,22.0,21.6,7.2,4.9,7.0,6.5,32.9,4.7,4.2,23.099999999999994,12.29,11.31,LOW
Arlington,51013100800,1596,77.9,19.8,23.2,9.9,7.0,9.2,7.8,34.2,6.0,5.6,22.099999999999994,13.49,12.72,LOW
Arlington,51013100900,4406,78.5,21.5,21.6,6.8,4.8,6.5,6.0,31.1,4.5,4.1,21.5,11.52,10.66,LOW
Arlington,51013101000,3319,78.8,22.1,20.8,6.1,4.3,6.1,5.2,30.5,4.2,4.0,21.200000000000003,10.99,10.2,LOW
Arlington,51013101100,5948,78.0,21.2,18.4,4.7,3.0,4.9,4.3,30.5,3.5,3.1,22.0,10.4,9.5,LOW
Arlington,51013101200,3897,78.9,20.1,22.3,6.5,4.2,6.4,6.7,31.1,4.3,3.9,21.099999999999994,11.5,10.52,LOW
Arlington,51013101300,6940,76.7,21.6,18.2,4.7,2.9,5.0,4.6,31.0,3.7,3.3,23.299999999999997,10.82,9.81,LOW
Arlington,51013101401,1938,71.0,24.4,17.5,6.7,4.1,6.8,5.5,38.4,5.2,4.0,29.0,13.66,12.46,LOW
Arlington,51013101402,2878,73.3,22.9,16.9,4.7,2.9,5.0,4.5,33.4,3.9,3.2,26.700000000000003,11.73,10.54,LOW
Arlington,51013101405,2176,74.2,22.2,17.3,4.8,2.8,5.0,4.5,34.1,3.7,3.0,25.799999999999997,11.6,10.46,LOW
Arlington,51013101406,3641,72.9,23.2,17.1,4.9,3.0,5.2,4.7,34.3,4.0,3.3,27.099999999999994,12.02,10.81,LOW
Arlington,51013101407,3812,71.2,23.6,16.7,5.8,3.7,5.9,4.9,35.2,4.7,3.8,28.799999999999997,12.83,11.6,LOW
Arlington,51013101408,788,69.4,23.7,15.0,4.8,2.7,5.5,5.0,35.8,4.0,3.2,30.599999999999994,12.95,11.45,LOW
Arlington,51013101409,2120,76.7,21.7,22.0,5.3,3.4,5.0,5.1,33.6,4.0,3.1,23.299999999999997,11.33,10.35,LOW
Arlington,51013101501,3136,72.6,23.3,17.8,6.5,4.2,6.6,6.0,34.8,4.8,4.0,27.400000000000006,13.02,11.79,LOW
Arlington,51013101502,3284,74.1,23.1,16.8,4.8,2.9,5.2,4.6,33.2,3.9,3.2,25.900000000000006,11.61,10.46,LOW
Arlington,51013101503,1793,77.7,21.2,18.3,4.3,2.7,4.5,4.4,30.9,3.3,2.8,22.299999999999997,10.37,9.4,LOW
Arlington,51013101601,1362,74.7,22.4,16.6,4.4,2.6,4.8,4.3,33.1,3.7,3.1,25.299999999999997,11.26,10.16,LOW
Arlington,51013101602,1654,74.4,23.9,23.2,11.1,8.7,9.7,8.1,35.2,6.8,6.2,25.599999999999994,14.78,13.92,LOW
Arlington,51013101603,4482,73.6,23.4,19.8,7.6,5.2,6.9,6.2,35.0,5.3,4.3,26.400000000000006,13.2,12.11,LOW
Arlington,51013101701,5507,70.9,23.6,16.8,6.7,4.3,6.8,6.0,36.0,5.0,4.1,29.099999999999994,13.56,12.25,LOW
Arlington,51013101703,2352,74.9,22.0,19.4,6.5,4.2,6.5,6.1,33.2,4.7,4.0,25.099999999999994,12.41,11.29,LOW
Arlington,51013101704,1990,73.3,21.2,18.3,7.8,5.0,7.1,5.8,35.6,5.4,4.5,26.700000000000003,13.28,12.24,LOW
