CountyName,LocationID,TotalPopulation,Short_Question_Text,Data_Value,Measure_Name
Fairfax,51059430500,1716,Annual Checkup,78.0,Checkups
Fairfax,51059432201,2393,Annual Checkup,75.8,Checkups
Fairfax,51059491102,3422,Annual Checkup,77.4,Checkups
Fairfax,51059422402,5236,Annual Checkup,77.1,Checkups
Hanover,51085320805,3421,Annual Checkup,79.3,Checkups
Fairfax,51059440701,2895,Annual Checkup,80.1,Checkups
Henrico,51087200143,2692,Annual Checkup,80.7,Checkups
Fairfax,51059480203,2828,Annual Checkup,79.1,Checkups
Henrico,51087200131,1978,Annual Checkup,78.3,Checkups
Henrico,51087200407,4738,Annual Checkup,78.6,Checkups
Fairfax,51059452102,3354,Annual Checkup,78.1,Checkups
Fairfax,51059421702,4000,Annual Checkup,77.3,Checkups
Fairfax,51059451400,3263,Annual Checkup,73.6,Checkups
Fairfax,51059452801,5627,Annual Checkup,77.3,Checkups
Fauquier,51061930304,2564,Annual Checkup,82.6,Checkups
Fairfax,51059471401,3759,Annual Checkup,76.2,Checkups
